batch_size,epochs,learning_rate,num_conv_blocks,filters,kernel_size,use_batchnorm,dropout_rate,dense_units,best_val_accuracy,best_train_accuracy,train_mse,test_mse
32,50,0.001,1,32,3,True,0.0,32,0.558399975299835,0.548680007457733,0.056546940273363,0.0578370033684298
32,50,0.001,1,32,3,True,0.0,64_32,0.574400007724762,0.569360017776489,0.0535196718453192,0.0558430017523765
32,50,0.001,1,32,3,True,0.3,32,0.511399984359741,0.466980010271072,0.0620556628689293,0.0628752454781301
32,50,0.001,1,32,3,True,0.3,64_32,0.51529997587204,0.475780010223389,0.0602307807192339,0.0615850175102789
32,50,0.001,1,32,3,False,0.0,32,0.491499990224838,0.499559998512268,0.0637788012321494,0.0646812441978103
32,50,0.001,1,32,3,False,0.0,64_32,0.52240002155304,0.5346400141716,0.0601245840195686,0.0613445707600418
32,50,0.001,1,32,3,False,0.3,32,0.463800013065338,0.418300002813339,0.0676629117371689,0.0679563155383784
32,50,0.001,1,32,3,False,0.3,64_32,0.46790000796318,0.435519993305206,0.0662455804556635,0.0668356193596583
32,50,0.001,1,32,5,True,0.0,32,0.583199977874756,0.572099983692169,0.0539410169780454,0.0548938102441044
32,50,0.001,1,32,5,True,0.0,64_32,0.591300010681152,0.582319974899292,0.0523011344166617,0.054324057817147
32,50,0.001,1,32,5,True,0.3,32,0.537500023841858,0.493660002946854,0.0589873313624954,0.0600603565076534
32,50,0.001,1,32,5,True,0.3,64_32,0.518700003623962,0.479820013046265,0.0602880138110083,0.0613315569424358
32,50,0.001,1,32,5,False,0.0,32,0.495200008153915,0.502399981021881,0.0634279060664984,0.0640880265923055
32,50,0.001,1,32,5,False,0.0,64_32,0.535199999809265,0.5485799908638,0.0582903905147527,0.0599260341133266
32,50,0.001,1,32,5,False,0.3,32,0.483999997377396,0.44514000415802,0.06512081150827,0.0654762645003408
32,50,0.001,1,32,5,False,0.3,64_32,0.515600025653839,0.484200000762939,0.0607227426444124,0.061914939980308
32,50,0.001,2,32_64,3,True,0.0,32,0.719099998474121,0.744159996509552,0.0326161615844384,0.0390988646518235
32,50,0.001,2,32_64,3,True,0.0,64_32,0.744799971580505,0.78957998752594,0.0255547802682015,0.0361335229820508
32,50,0.001,2,32_64,3,True,0.3,32,0.668799996376038,0.63154000043869,0.0424400865978783,0.0444816252765393
32,50,0.001,2,32_64,3,True,0.3,64_32,0.654999971389771,0.607999980449677,0.0444290586002976,0.046862589355889
32,50,0.001,2,32_64,3,False,0.0,32,0.689100027084351,0.722339987754822,0.0377264605751102,0.0426542492593359
32,50,0.001,2,32_64,3,False,0.0,64_32,0.704800009727478,0.760380029678345,0.0327288342767269,0.040725339119382
32,50,0.001,2,32_64,3,False,0.3,32,0.616599977016449,0.575500011444092,0.0491469055625208,0.0507394845058025
32,50,0.001,2,32_64,3,False,0.3,64_32,0.629199981689453,0.600340008735657,0.0471939025282397,0.0494153808187663
32,50,0.001,2,32_64,5,True,0.0,32,0.745500028133392,0.810959994792938,0.0233096869703314,0.035562094895185
32,50,0.001,2,32_64,5,True,0.0,64_32,0.748199999332428,0.811819970607758,0.0228316487954529,0.0352364000108176
32,50,0.001,2,32_64,5,True,0.3,32,0.720499992370606,0.671079993247986,0.0353506561259093,0.0384831514612466
32,50,0.001,2,32_64,5,True,0.3,64_32,0.716400027275085,0.671079993247986,0.0354082938765921,0.0388741912426231
32,50,0.001,2,32_64,5,False,0.0,32,0.705600023269653,0.754459977149963,0.0340427182045016,0.0406888490250822
32,50,0.001,2,32_64,5,False,0.0,64_32,0.726300001144409,0.843219995498657,0.0267830028387602,0.0395010407335981
32,50,0.001,2,32_64,5,False,0.3,32,0.70169997215271,0.660600006580353,0.037157951169134,0.0408999827252588
32,50,0.001,2,32_64,5,False,0.3,64_32,0.686500012874603,0.662999987602234,0.0382605171537791,0.0425603683454334
32,50,0.001,3,32_64_128,3,True,0.0,32,0.785000026226044,0.973140001296997,0.0080808548793843,0.0344694532524095
32,50,0.001,3,32_64_128,3,True,0.0,64_32,0.777899980545044,0.951979994773865,0.0106340937664761,0.0335250682787687
32,50,0.001,3,32_64_128,3,True,0.3,32,0.77539998292923,0.733160018920898,0.0262355125159721,0.0314457847445496
32,50,0.001,3,32_64_128,3,True,0.3,64_32,0.755800008773804,0.707400023937225,0.0297609337797225,0.0340948653640166
32,50,0.001,3,32_64_128,3,False,0.0,32,0.761799991130829,0.938080012798309,0.0209273820037042,0.0357568625532281
32,50,0.001,3,32_64_128,3,False,0.0,64_32,0.768100023269653,0.912840008735657,0.0227971154412297,0.0344777979701134
32,50,0.001,3,32_64_128,3,False,0.3,32,0.775600016117096,0.728999972343445,0.0250995118263767,0.031648061020702
32,50,0.001,3,32_64_128,3,False,0.3,64_32,0.764100015163422,0.731660008430481,0.025845238015471,0.032996476395689
32,50,0.001,3,32_64_128,5,True,0.0,32,0.784799993038178,0.994080007076263,0.01132316660712,0.0351299250735516
32,50,0.001,3,32_64_128,5,True,0.0,64_32,0.792500019073486,0.981959998607636,0.0039983370387251,0.0322593189402056
32,50,0.001,3,32_64_128,5,True,0.3,32,0.814400017261505,0.792940020561218,0.0175289198229662,0.0263847514797442
32,50,0.001,3,32_64_128,5,True,0.3,64_32,0.831399977207184,0.815500020980835,0.013374233488708,0.0245589207269671
32,50,0.001,3,32_64_128,5,False,0.0,32,0.760599970817566,0.974200010299683,0.0255394125357335,0.0364445219532909
32,50,0.001,3,32_64_128,5,False,0.0,64_32,0.750100016593933,0.991299986839294,0.0214588691498718,0.0362168928377892
32,50,0.001,3,32_64_128,5,False,0.3,32,0.800999999046326,0.810840010643005,0.0145176782564283,0.028142420606805
32,50,0.001,3,32_64_128,5,False,0.3,64_32,0.790700018405914,0.802680015563965,0.0158861665192726,0.0291690824313477
32,50,0.0005,1,32,3,True,0.0,32,0.542100012302399,0.52946001291275,0.0590728245581721,0.0598550934850412
32,50,0.0005,1,32,3,True,0.0,64_32,0.544399976730347,0.5346599817276,0.0575821121566939,0.0594499541321182
32,50,0.0005,1,32,3,True,0.3,32,0.501800000667572,0.461380004882813,0.0627747951941272,0.0636131262839017
32,50,0.0005,1,32,3,True,0.3,64_32,0.503499984741211,0.464579999446869,0.0618094388119642,0.0628620824469324
32,50,0.0005,1,32,3,False,0.0,32,0.446399986743927,0.451079994440079,0.0679266937830049,0.0680998606950642
32,50,0.0005,1,32,3,False,0.0,64_32,0.47859999537468,0.484279990196228,0.0651859089961226,0.065882475242032
32,50,0.0005,1,32,3,False,0.3,32,0.39750000834465,0.364800006151199,0.0731104102575505,0.0731273970391156
32,50,0.0005,1,32,3,False,0.3,64_32,0.450399994850159,0.417439997196198,0.0678747546226983,0.0683480511661871
32,50,0.0005,1,32,5,True,0.0,32,0.548900008201599,0.541880011558533,0.0577938574670826,0.0586515908563403
32,50,0.0005,1,32,5,True,0.0,64_32,0.58270001411438,0.582379996776581,0.0524664648094914,0.0545897891393836
32,50,0.0005,1,32,5,True,0.3,32,0.504299998283386,0.467379987239838,0.0621547332461753,0.0629449587517098
32,50,0.0005,1,32,5,True,0.3,64_32,0.498299986124039,0.452499985694885,0.0628515441144871,0.0634949443043182
32,50,0.0005,1,32,5,False,0.0,32,0.472799986600876,0.478199988603592,0.0657256189851674,0.0660753539412536
32,50,0.0005,1,32,5,False,0.0,64_32,0.482499986886978,0.482019990682602,0.0650638276468742,0.0653034942274724
32,50,0.0005,1,32,5,False,0.3,32,0.44080001115799,0.398079991340637,0.0700629396437597,0.0702332490886798
32,50,0.0005,1,32,5,False,0.3,64_32,0.466199994087219,0.426140010356903,0.0668240309510206,0.0671557678571848
32,50,0.0005,2,32_64,3,True,0.0,32,0.703599989414215,0.732119977474213,0.0342748715824856,0.0409576985783135
32,50,0.0005,2,32_64,3,True,0.0,64_32,0.712400019168854,0.738460004329681,0.0327665877395937,0.0396165858739576
32,50,0.0005,2,32_64,3,True,0.3,32,0.655799984931946,0.601300001144409,0.0445145912488125,0.0464604920036895
32,50,0.0005,2,32_64,3,True,0.3,64_32,0.644500017166138,0.584479987621307,0.045870031904888,0.0478177234340636
32,50,0.0005,2,32_64,3,False,0.0,32,0.634700000286102,0.641680002212524,0.0480803073411688,0.0495313336081246
32,50,0.0005,2,32_64,3,False,0.0,64_32,0.652700006961823,0.670400023460388,0.0437256163964348,0.0467118009709208
32,50,0.0005,2,32_64,3,False,0.3,32,0.610400021076202,0.562640011310577,0.0500340881049706,0.0517432991856122
32,50,0.0005,2,32_64,3,False,0.3,64_32,0.604700028896332,0.568440020084381,0.0507583082812566,0.0521750676718281
32,50,0.0005,2,32_64,5,True,0.0,32,0.740299999713898,0.795960009098053,0.0258187608212562,0.0360874094949362
32,50,0.0005,2,32_64,5,True,0.0,64_32,0.741999983787537,0.806720018386841,0.0232991110613752,0.0363808893814039
32,50,0.0005,2,32_64,5,True,0.3,32,0.67960000038147,0.622420012950897,0.0410580566325473,0.0433814886900781
32,50,0.0005,2,32_64,5,True,0.3,64_32,0.70990002155304,0.654160022735596,0.0369082741664608,0.0400894647432702
32,50,0.0005,2,32_64,5,False,0.0,32,0.704500019550324,0.747600018978119,0.0348900265245616,0.0405016535321054
32,50,0.0005,2,32_64,5,False,0.0,64_32,0.702899992465973,0.751800000667572,0.0341193961591866,0.040757407319164
32,50,0.0005,2,32_64,5,False,0.3,32,0.673600018024445,0.631179988384247,0.0411536754801788,0.0440848840387093
32,50,0.0005,2,32_64,5,False,0.3,64_32,0.685800015926361,0.65913999080658,0.0381987070385962,0.0422858990496924
32,50,0.0005,3,32_64_128,3,True,0.0,32,0.76230001449585,0.943740010261536,0.0092583240330371,0.0354826126150566
32,50,0.0005,3,32_64_128,3,True,0.0,64_32,0.768899977207184,0.93996000289917,0.012481701608066,0.0351618206477432
32,50,0.0005,3,32_64_128,3,True,0.3,32,0.783599972724915,0.743319988250732,0.0245944099996486,0.0302020672416756
32,50,0.0005,3,32_64_128,3,True,0.3,64_32,0.706200003623962,0.656740009784699,0.0377837066485383,0.0403529944844239
32,50,0.0005,3,32_64_128,3,False,0.0,32,0.757799983024597,0.873579978942871,0.0218954279675378,0.0346951238847476
32,50,0.0005,3,32_64_128,3,False,0.0,64_32,0.773699998855591,0.894620001316071,0.0210933528569449,0.0339851511463545
32,50,0.0005,3,32_64_128,3,False,0.3,32,0.741699993610382,0.698920011520386,0.0295108239283657,0.0358157119131415
32,50,0.0005,3,32_64_128,3,False,0.3,64_32,0.759599983692169,0.716679990291595,0.0277797592350244,0.0336573976293466
32,50,0.0005,3,32_64_128,5,True,0.0,32,0.7742999792099,0.982439994812012,0.0101006753887093,0.0339055402884826
32,50,0.0005,3,32_64_128,5,True,0.0,64_32,0.770099997520447,0.974699974060059,0.0117321753682846,0.0355151198917354
32,50,0.0005,3,32_64_128,5,True,0.3,32,0.826900005340576,0.808619976043701,0.0150755473564113,0.0248742191370274
32,50,0.0005,3,32_64_128,5,True,0.3,64_32,0.816900014877319,0.790480017662048,0.0176531692556309,0.0265484661964538
32,50,0.0005,3,32_64_128,5,False,0.0,32,0.768700003623962,0.938839972019196,0.023821695146419,0.0350700660643432
32,50,0.0005,3,32_64_128,5,False,0.0,64_32,0.761099994182587,0.954439997673035,0.0247913297467163,0.0367591081669387
32,50,0.0005,3,32_64_128,5,False,0.3,32,0.794700026512146,0.806720018386841,0.0149856166586905,0.0285803303234239
32,50,0.0005,3,32_64_128,5,False,0.3,64_32,0.793299973011017,0.814400017261505,0.0158057330409549,0.0293896300925431
32,100,0.001,1,32,3,True,0.0,32,0.55239999294281,0.545960009098053,0.0570285128421311,0.0584368527140104
32,100,0.001,1,32,3,True,0.0,64_32,0.592599987983704,0.583320021629334,0.0520238040009809,0.0543600864521557
32,100,0.001,1,32,3,True,0.3,32,0.505999982357025,0.465240001678467,0.062503164889836,0.0633254915429563
32,100,0.001,1,32,3,True,0.3,64_32,0.514699995517731,0.472400009632111,0.0607176141934689,0.0619713031381174
32,100,0.001,1,32,3,False,0.0,32,0.499599993228912,0.509760022163391,0.0629951634189855,0.0639642499831788
32,100,0.001,1,32,3,False,0.0,64_32,0.528500020503998,0.539699971675873,0.0593583896822788,0.0607834476708523
32,100,0.001,1,32,3,False,0.3,32,0.48309999704361,0.44624000787735,0.064979706223904,0.0657495853869726
32,100,0.001,1,32,3,False,0.3,64_32,0.495900005102158,0.46424001455307,0.0632476096726767,0.0642192763134285
32,100,0.001,1,32,5,True,0.0,32,0.576399981975555,0.567740023136139,0.0546987787162773,0.0557745461542465
32,100,0.001,1,32,5,True,0.0,64_32,0.604499995708466,0.604179978370667,0.0495471760923414,0.0522550808707466
32,100,0.001,1,32,5,True,0.3,32,0.524500012397766,0.484019994735718,0.0600993673646016,0.0609524951490907
32,100,0.001,1,32,5,True,0.3,64_32,0.534300029277802,0.49142000079155,0.0589964404531537,0.0601749799818238
32,100,0.001,1,32,5,False,0.0,32,0.505200028419495,0.513199985027313,0.0624395767270983,0.0635081176957342
32,100,0.001,1,32,5,False,0.0,64_32,0.558700025081635,0.570039987564087,0.0558833861021036,0.0575285299887428
32,100,0.001,1,32,5,False,0.3,32,0.50110000371933,0.464859992265701,0.0630493765494283,0.0637246519090666
32,100,0.001,1,32,5,False,0.3,64_32,0.517899990081787,0.488299995660782,0.0603434911547974,0.0615803295828818
32,100,0.001,2,32_64,3,True,0.0,32,0.724399983882904,0.764639973640442,0.0296141657934972,0.0380017658525754
32,100,0.001,2,32_64,3,True,0.0,64_32,0.725399971008301,0.752659976482391,0.0307143898487592,0.0384873982586323
32,100,0.001,2,32_64,3,True,0.3,32,0.652199983596802,0.606079995632172,0.0452162717938343,0.0469362744856801
32,100,0.001,2,32_64,3,True,0.3,64_32,0.676999986171722,0.624040007591248,0.0416778840589662,0.0438837595534851
32,100,0.001,2,32_64,3,False,0.0,32,0.687399983406067,0.710759997367859,0.039854314938962,0.0433216904234186
32,100,0.001,2,32_64,3,False,0.0,64_32,0.706499993801117,0.765959978103638,0.0325621086769545,0.0404573808636824
32,100,0.001,2,32_64,3,False,0.3,32,0.621299982070923,0.57888001203537,0.0482125467371667,0.0499649872885461
32,100,0.001,2,32_64,3,False,0.3,64_32,0.639299988746643,0.606299996376038,0.046049812489671,0.0482916936954987
32,100,0.001,2,32_64,5,True,0.0,32,0.749100029468536,0.806379973888397,0.0245080313539677,0.0355729439448323
32,100,0.001,2,32_64,5,True,0.0,64_32,0.74889999628067,0.833760023117065,0.0194631668374308,0.0354804533864276
32,100,0.001,2,32_64,5,True,0.3,32,0.723399996757507,0.681240022182465,0.0344464011364835,0.0380867056018924
32,100,0.001,2,32_64,5,True,0.3,64_32,0.740000009536743,0.693239986896515,0.0323224188600458,0.0363557429044613
32,100,0.001,2,32_64,5,False,0.0,32,0.70660001039505,0.767419993877411,0.0325714046263235,0.0403464600231072
32,100,0.001,2,32_64,5,False,0.0,64_32,0.723999977111816,0.805260002613068,0.0277861098059289,0.0387451808767694
32,100,0.001,2,32_64,5,False,0.3,32,0.692099988460541,0.661080002784729,0.0373555631863349,0.041687971786926
32,100,0.001,2,32_64,5,False,0.3,64_32,0.689999997615814,0.670499980449677,0.0374036559734308,0.0419566549230239
32,100,0.001,3,32_64_128,3,True,0.0,32,0.777800023555756,0.938319981098175,0.0158606198993218,0.0342406415080128
32,100,0.001,3,32_64_128,3,True,0.0,64_32,0.771899998188019,0.936760008335114,0.0219500666775675,0.0367536149236336
32,100,0.001,3,32_64_128,3,True,0.3,32,0.774600028991699,0.73445999622345,0.0259612968397547,0.031211846538136
32,100,0.001,3,32_64_128,3,True,0.3,64_32,0.760399997234345,0.71263998746872,0.0285848085886338,0.0333079365651121
32,100,0.001,3,32_64_128,3,False,0.0,32,0.759199976921082,0.940720021724701,0.0200288023680801,0.0358107841603863
32,100,0.001,3,32_64_128,3,False,0.0,64_32,0.762099981307983,0.940840005874634,0.0225118028474412,0.0357459264274761
32,100,0.001,3,32_64_128,3,False,0.3,32,0.77020001411438,0.734679996967316,0.0246473388500745,0.0317813295991385
32,100,0.001,3,32_64_128,3,False,0.3,64_32,0.758599996566772,0.724460005760193,0.0276023648769499,0.0335470705623787
32,100,0.001,3,32_64_128,5,True,0.0,32,0.776899993419647,0.992940008640289,0.0115281234609227,0.0363813791684906
32,100,0.001,3,32_64_128,5,True,0.0,64_32,0.787899971008301,0.988359987735748,0.0059631345148113,0.0329026741337259
32,100,0.001,3,32_64_128,5,True,0.3,32,0.824500024318695,0.814300000667572,0.0142722102055853,0.0249203541887863
32,100,0.001,3,32_64_128,5,True,0.3,64_32,0.82779997587204,0.802900016307831,0.0151135168726399,0.025091077446033
32,100,0.001,3,32_64_128,5,False,0.0,32,0.756099998950958,0.984860002994537,0.014094453182022,0.0353860311424485
32,100,0.001,3,32_64_128,5,False,0.0,64_32,0.748600006103516,0.990939974784851,0.0201779713702082,0.0369302883870945
32,100,0.001,3,32_64_128,5,False,0.3,32,0.803600013256073,0.811360001564026,0.0147701180621845,0.0279869175226439
32,100,0.001,3,32_64_128,5,False,0.3,64_32,0.798500001430512,0.818419992923737,0.0143136767248153,0.0284689458064411
32,100,0.0005,1,32,3,True,0.0,32,0.526000022888184,0.514919996261597,0.060750805042632,0.0614909751801355
32,100,0.0005,1,32,3,True,0.0,64_32,0.565699994564056,0.558700025081635,0.0550291090200538,0.0566887535784184
32,100,0.0005,1,32,3,True,0.3,32,0.505800008773804,0.462879985570908,0.0624762832393257,0.0633178071148843
32,100,0.0005,1,32,3,True,0.3,64_32,0.508499979972839,0.460260003805161,0.0619844186417409,0.0630560347299787
32,100,0.0005,1,32,3,False,0.0,32,0.465400010347366,0.476119995117188,0.0663982720565175,0.0670108295658407
32,100,0.0005,1,32,3,False,0.0,64_32,0.504899978637695,0.521420001983643,0.061656431952366,0.0629991470328742
32,100,0.0005,1,32,3,False,0.3,32,0.404000014066696,0.371499985456467,0.0727045992149642,0.0726790694072955
32,100,0.0005,1,32,3,False,0.3,64_32,0.48309999704361,0.451900005340576,0.0648708133448605,0.0655431743397003
32,100,0.0005,1,32,5,True,0.0,32,0.555000007152557,0.548139989376068,0.0572903585202422,0.0581869211773752
32,100,0.0005,1,32,5,True,0.0,64_32,0.584699988365173,0.574079990386963,0.0532891263042342,0.0549408890111056
32,100,0.0005,1,32,5,True,0.3,32,0.51690000295639,0.477539986371994,0.0610464537029129,0.0618929538681131
32,100,0.0005,1,32,5,True,0.3,64_32,0.492900013923645,0.459479987621307,0.0629054481579673,0.0639739094262877
32,100,0.0005,1,32,5,False,0.0,32,0.486600011587143,0.492799997329712,0.0648619490019788,0.0655013592367428
32,100,0.0005,1,32,5,False,0.0,64_32,0.500400006771088,0.507319986820221,0.0628007536000286,0.0636843876687426
32,100,0.0005,1,32,5,False,0.3,32,0.466800004243851,0.430480003356934,0.0670151046689286,0.067290461818692
32,100,0.0005,1,32,5,False,0.3,64_32,0.468600004911423,0.437099993228912,0.066245269172939,0.0666126416653597
32,100,0.0005,2,32_64,3,True,0.0,32,0.694800019264221,0.729579985141754,0.034997489118962,0.0413864399805763
32,100,0.0005,2,32_64,3,True,0.0,64_32,0.71069997549057,0.74702000617981,0.0314151162312498,0.0398114868361592
32,100,0.0005,2,32_64,3,True,0.3,32,0.649900019168854,0.597819983959198,0.045509887162739,0.0472665625599703
32,100,0.0005,2,32_64,3,True,0.3,64_32,0.662999987602234,0.608519971370697,0.043461181420509,0.0456892841109626
32,100,0.0005,2,32_64,3,False,0.0,32,0.659900009632111,0.683139979839325,0.0433999825782461,0.0461416330551074
32,100,0.0005,2,32_64,3,False,0.0,64_32,0.682399988174439,0.72299998998642,0.0382358521200604,0.0431415102170851
32,100,0.0005,2,32_64,3,False,0.3,32,0.589999973773956,0.5521399974823,0.0528021745313544,0.0540690541078768
32,100,0.0005,2,32_64,3,False,0.3,64_32,0.62279999256134,0.589320003986359,0.0488548268644694,0.0504338441440693
32,100,0.0005,2,32_64,5,True,0.0,32,0.738900005817413,0.800819993019104,0.0250246259876189,0.0361470977359391
32,100,0.0005,2,32_64,5,True,0.0,64_32,0.742699980735779,0.800360023975372,0.0242430447092482,0.0358861272993007
32,100,0.0005,2,32_64,5,True,0.3,32,0.709500014781952,0.65258002281189,0.0370178644780956,0.0396373197457671
32,100,0.0005,2,32_64,5,True,0.3,64_32,0.681599974632263,0.618960022926331,0.0411595258635904,0.0435318366729574
32,100,0.0005,2,32_64,5,False,0.0,32,0.688300013542175,0.713400006294251,0.0393030215120562,0.0428973752432673
32,100,0.0005,2,32_64,5,False,0.0,64_32,0.721099972724915,0.778699994087219,0.0309597752420419,0.0388941673428108
32,100,0.0005,2,32_64,5,False,0.3,32,0.699199974536896,0.666459977626801,0.037180488549972,0.0410821104008011
32,100,0.0005,2,32_64,5,False,0.3,64_32,0.699699997901917,0.669939994812012,0.0370751400193487,0.0414202261013508
