,blocks_per_stage,dense_units,best_val_accuracy,best_train_accuracy,train_mse,test_mse
64_128,2,128_64,0.8273000121116638,0.9924600124359132,0.0712169241605939,0.0738096126731841
64_128,2,256_128_64,0.8233000040054321,0.9907000064849854,0.0726176282001565,0.0746316402193387
64_128,3,128_64,0.8421000242233276,0.9928799867630004,0.0712392908801181,0.073655596907915
64_128,3,256_128_64,0.842199981212616,0.994700014591217,0.0690715551380491,0.0728460111382847
64_128_256,2,128_64,0.866100013256073,0.9971799850463868,0.0688972623909054,0.0719129236121027
64_128_256,2,256_128_64,0.8636000156402588,0.9967600107192992,0.0683192869015459,0.071874419509239
64_128_256,3,128_64,0.8794000148773193,0.998960018157959,0.065639302991938,0.0696503934623817
64_128_256,3,256_128_64,0.8737000226974487,0.9973400235176086,0.06824991803141305,0.07170938725123287
